,Equity,DrawdownPct,DrawdownDuration
2010-02-02,44486.83622000003,0.0017740022462404692,
2010-02-03,43836.936220000025,0.016356902067030776,
2010-02-04,44777.61622000003,0.0,6 days
2010-02-05,44475.446220000034,0.006748237747078445,
2010-02-08,44329.38622000003,0.010010135372052309,
2010-02-09,44130.396220000024,0.01445409681525045,
2010-02-10,44263.726220000026,0.01147649301997622,
2010-02-11,44133.07622000003,0.014394245482681978,
2010-02-12,44352.83622000003,0.009486436212079452,
2010-02-16,43804.776220000036,0.02172603372230153,
2010-02-17,44011.80622000003,0.017102518281398638,
2010-02-18,43676.13622000003,0.02459889768558121,
2010-02-19,43840.95622000003,0.02091804073262926,
2010-02-22,43704.276220000036,0.023970458693613694,
2010-02-23,42896.83422000004,0.04200272722780485,
2010-02-24,42608.83422000003,0.04843451222022188,
2010-02-25,42205.63422000003,0.057439011209605706,
2010-02-26,42235.23422000003,0.0567779666409407,
2010-03-01,42706.43422000004,0.046254851750569426,
2010-03-02,43376.03422000003,0.03130095164320035,
2010-03-03,43716.83422000004,0.023690006068840086,
2010-03-04,44458.43422000004,0.007128159713366555,
2010-03-05,45228.03422000004,0.0,29 days
2010-03-08,45089.634220000036,0.003060048980391028,
2010-03-09,44906.43422000004,0.007110634046920028,
2010-03-10,46207.23422000004,0.0,5 days
2010-03-11,46582.43422000003,0.0,
2010-03-12,46454.43422000003,0.0027478169001533548,
2010-03-15,45145.63422000003,0.03084424470422198,
2010-03-16,45307.23422000004,0.027375125867778016,
2010-03-17,45336.03422000003,0.026756867065243717,
2010-03-18,45403.234220000035,0.025314263192663056,
2010-03-19,44891.234220000035,0.0363055307932767,
2010-03-22,44691.234220000035,0.040598994699766355,
2010-03-23,44011.234220000035,0.05519677198183126,
2010-03-24,44677.634220000036,0.040890950245407676,
2010-03-25,45121.634220000036,0.031359460373000525,
2010-03-26,45106.43422000004,0.031685763629893726,
2010-03-29,45087.23422000004,0.03209793616491663,
2010-03-30,44632.13428000004,0.041867711996094736,
2010-03-31,44599.74428000004,0.042563038475750714,
2010-04-01,44467.02428000005,0.04541218112409717,
2010-04-05,44292.434280000045,0.049160160441267364,
2010-04-06,44512.84428000004,0.044428548543120505,
2010-04-07,44882.56428000004,0.03649165116558373,
2010-04-08,44570.51428000004,0.043190528225684255,
2010-04-09,44293.26242000004,0.04914238249526981,
2010-04-12,44801.04242000004,0.03824170698308327,
2010-04-13,45896.16242000004,0.014732416016708383,
2010-04-14,46070.10242000004,0.010998390457234275,
2010-04-15,46561.50242000003,0.0004493496389892382,
2010-04-16,43039.80242000004,0.0760508088364128,
2010-04-19,43035.90242000004,0.07613453138258919,
2010-04-20,43421.222420000035,0.0678627438203463,
2010-04-21,43363.50242000003,0.06910183750375931,
2010-04-22,42798.78242000003,0.08122486219012359,
2010-04-23,42637.32242000004,0.08469097560183259,
